i,gPopulation,gDiffusionRate,gEvaporationRate,medNumberFood1,medNumberFood2,medNumberFood3
10.0,125.0,25.0,25.0,364.5,1144.0,2395.0
0.0,125.0,25.0,25.0,355.0,1221.0,2384.5
1.0,125.0,25.0,25.0,307.5,1173.5,2379.0
2.0,125.0,25.0,25.0,311.0,1248.0,2385.0
3.0,125.0,25.0,25.0,286.5,1235.5,2286.5
4.0,125.0,25.0,25.0,312.0,1168.0,2223.0
5.0,125.0,25.0,25.0,331.0,1230.5,2344.5
6.0,125.0,25.0,25.0,338.0,1143.0,2388.5
7.0,125.0,25.0,25.0,345.5,1183.0,2341.0
8.0,125.0,25.0,25.0,317.5,1230.0,2310.5
9.0,125.0,25.0,25.0,325.0,1120.5,2409.5
