i,gPopulation,gDiffusionRate,gEvaporationRate,medNumberFood1,medNumberFood2,medNumberFood3
0.0,125.0,25.0,25.0,321.0,1204.0,2337.5
1.0,125.0,25.0,25.0,319.0,1213.0,2350.5
2.0,125.0,25.0,25.0,320.0,1219.0,2356.5
3.0,125.0,25.0,25.0,318.5,1229.5,2340.0
4.0,125.0,25.0,25.0,327.0,1231.0,2357.5
5.0,125.0,25.0,25.0,320.5,1220.5,2340.0
6.0,125.0,25.0,25.0,322.0,1229.0,2348.0
7.0,125.0,25.0,25.0,324.0,1223.0,2334.5
8.0,125.0,25.0,25.0,324.0,1227.0,2349.0
9.0,125.0,25.0,25.0,319.0,1212.0,2337.5
10.0,125.0,25.0,25.0,322.0,1222.0,2350.0
