i,gPopulation,gDiffusionRate,gEvaporationRate,medNumberFood1,medNumberFood2,medNumberFood3
0.0,125.0,25.0,25.0,335.0,1239.0,2362.0
1.0,125.0,25.0,25.0,326.5,1211.5,2348.5
2.0,125.0,25.0,25.0,328.0,1209.0,2313.5
3.0,125.0,25.0,25.0,310.5,1238.5,2382.5
4.0,125.0,25.0,25.0,322.5,1209.0,2365.0
5.0,125.0,25.0,25.0,317.5,1231.5,2330.5
6.0,125.0,25.0,25.0,332.0,1213.0,2390.0
7.0,125.0,25.0,25.0,319.0,1246.0,2316.0
8.0,125.0,25.0,25.0,318.5,1228.0,2333.0
9.0,125.0,25.0,25.0,334.5,1203.5,2301.0
10.0,125.0,25.0,25.0,332.0,1217.5,2403.0
